CC_Category,account,account_mask,amount,card_mapped,category,date,excluded,name,note,override_applied,override_card,override_rate,override_reason,parent_category,recurring,status,tags,type,used_rate,effective_card,points_earned,best_cards,best_rate,optimal_points,missed_points,used_best_card
Gas,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,35.08,Citi AAdvantage Platinum Select,Car/Gas,2025-02-20,False,Sunoco,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: marathon, wawa, sunoco, shell, exxon, bp, costco gas",Standard of Living,,posted,,regular,2.0,Citi AAdvantage Platinum Select,70.16,Citi AAdvantage Platinum Select,2.0,70.16,0.0,True
Streaming,Chase Sapphire,6143.0,2.99,Chase Sapphire Preferred,Subscriptions,2025-02-19,False,Apple.com-bill,,True,Chase Sapphire Preferred,3.0,"Matched override: openai, chatgpt, netflix, spotify, apple.com-bill",Standard of Living,Apple Storage,posted,,regular,3.0,Chase Sapphire Preferred,8.97,Chase Sapphire Preferred,3.0,8.97,0.0,True
Other,Chase Sapphire,6143.0,27.25,Chase Sapphire Preferred,Gym,2025-02-19,False,6873 City Fitness,,False,,,,Standard of Living,6873 City Fitness,posted,,regular,1.0,Chase Sapphire Preferred,27.25,Chase Freedom Unlimited,1.5,40.88,13.630000000000003,False
Dining,Chase Sapphire,6143.0,5.35,Chase Sapphire Preferred,Restaurants & Bars,2025-02-19,False,Schmear It - 12th St,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,16.05,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,16.05,0.0,True
Other,Chase Sapphire,6143.0,69.9,Chase Sapphire Preferred,Recreation,2025-02-18,False,Signup *independencebluec,,False,,,,Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,69.9,Chase Freedom Unlimited,1.5,104.85,34.94999999999999,False
Dining,Chase Sapphire,6143.0,5.35,Chase Sapphire Preferred,Restaurants & Bars,2025-02-18,False,Good Karma Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,16.05,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,16.05,0.0,True
Other,Chase Sapphire,6143.0,29.0,Chase Sapphire Preferred,Gym,2025-02-17,False,Fitness Your Way,,False,,,,Standard of Living,Fitness Your Way,posted,,regular,1.0,Chase Sapphire Preferred,29.0,Chase Freedom Unlimited,1.5,43.5,14.5,False
Other,Chase Sapphire,6143.0,-19.99,Chase Sapphire Preferred,Shops,2025-02-17,False,Amazon Mktplace,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,-19.99,Chase Freedom Unlimited,1.5,-29.98,0.0,False
Other,Chase Sapphire,6143.0,1.27,Chase Sapphire Preferred,Shops,2025-02-17,False,Landis Supermarket,,False,,,,Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,1.27,Chase Freedom Unlimited,1.5,1.9,0.6299999999999999,False
Other,Freedom Flex,2429.0,135.68,Chase Freedom Flex,Misc,2025-02-16,False,Turbotax,,False,,,,,,posted,,regular,1.0,Chase Freedom Flex,135.68,Chase Freedom Unlimited,1.5,203.52,67.84,False
