"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-09-26","Online Payment, Thank You",-2598.38,"posted","",,true,,"internal transfer","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-25","Starbucks",30.78,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-25","Photolounge Photo Lab",8,"posted","Subscriptions","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,"Photolounge Photo Lab Philadelphia Usa"
"2025-09-25","Sp Brooklinen",49.63,"posted","Home Improvement","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-25","Ryan Briglia ""bdubs""",25,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-25","Jacob Knotek ""hotel Motel Marriott Inn""",105,"posted","Travel & Vacation",,true,,"regular","Personal Profile",,,""
"2025-09-25","Emily Earley ""wingsss And Jawn""",25,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-22","Venmo",-19,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-22","Chase Credit Crd",571.71,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-22","Venmo",18,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-22","Whole Foods",8.36,"posted","Groceries","Standard of Living",false,,"regular","Chase Sapphire","6143",,""
"2025-09-21","Payment Thank You-mobile",-571.71,"posted","",,true,,"internal transfer","Chase Sapphire","6143",,""
"2025-09-21","Wawa",8.69,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-21","Glf*mainlandgolf",74,"posted","Recreation","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-21","1-900-ice-cream",6.5,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-21","Danny Conlon ""pjs""",18,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-21","Standard",19,"posted","",,true,,"regular","Personal Profile",,,""
"2025-09-21","Austin Dugan ""wawa And 🍺""",-9,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-21","Danny Conlon ""beer""",5,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-20","Subaru Park",30,"posted","Car/Gas","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-09-20","Dd *mercato",44.92,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-20","Amk Subaru Park Conc",16,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-20","Danny Conlon ""parking""",-15,"posted","Car/Gas","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-09-19","Apple.com-bill",2.99,"posted","Subscriptions","Standard of Living",false,,"regular","Chase Sapphire","6143",,"Apple Storage"
"2025-09-18","Merck Sharp And",-2686.53,"posted","",,true,,"income","Usaa Classic Checking","6726",,""
"2025-09-17","Venmo",86,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-17","Schmear It - 12th St",5.35,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-17","Acme",15.47,"posted","Groceries","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-16","Capital One",500,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-16","Katelynn Emore ""union Tickets""",43,"posted","",,true,,"regular","Personal Profile",,,""
"2025-09-16","Katelynn Emore ""union Tickets""",43,"posted","Entertainment","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-15","6873 City Fitnes J2644 Ooff",42.5,"posted","Gym","Standard of Living",false,,"regular","Usaa Classic Checking","6726",,"City Fitness Abc Club Fees"
"2025-09-15","Schwab Brokerage Moneylink",591.6,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-15","Usaa Funds Transfer Db",42.5,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-15","Chase Credit Crd",19.07,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-15","Dunkin' Donuts",4.58,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-15","Weis Markets",10,"posted","Gifts","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-15","Usaa Federal Savings Bank",-500,"posted","",,true,,"internal transfer","360 Performance Savings","9870",,""
"2025-09-15","Uber",34.98,"posted","Ubers/Septa","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-15","Marathon",30.98,"posted","Car/Gas","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-14","Mcdonald's",19.74,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-14","The Shambles",18.9,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
